มึงกล้าพูดรึป่าวว่าระบบการศึกษามันดีอ่ะ ถุ้ยเฟสยังปลอมเลยสัส	neg
เบื่อเวลามาโพสตไรแบบนี้ชอบเป็นพวกที่ใช่โปรไฟล์อื่นที่ไม่ใช่โปรไฟล์ตัวเอง เสือกไม่ลึกค่ะแบบนี้ เสียจุย	neg
พ่อมึงเป็นติ่งรัฐบาลหรอสัส ที่เรียกเก็บตังแพงมันจะเอาไปใช้ไปแดกกันเองอะแหละ ควย	neg
ใครก็ช่วยลบไอ้นี้ออกจากกลุ่มหน่อยครับ มันมาโพสต์เกรียนกวนส้นตีน แน่จริงมึงกล้าเอาเฟสจริงมาโพสต์ไหม	neg
เครียดมากอะตอนนี้	neg
เราเข้าใจ เราเป็นกำลังใจให้นะ สู้ๆ	pos
ท้อแล้วนะ ไม่ไหวแล้วนะ😭😭	neg
ใครยังไม่มีที่เรียนเหมือนเราบ้าง #นี่เครียดหนักเลยย 😭😭😭 #คนยังไม่มีที่เรียน	neg
หดหู่จังทีมยังไม่มีที่เรียน	neg
เศร้าเลย..สอบก็ไม่มีโอกาสแก้ตัวแล้วรอบเดียว ต้องโทษตัวเองที่ทำออกมาไม่ดีเอง	neg
นี่เสียกำลังใจเยอะแล้ว 😢	neg
พี่เป็นกำลังใจให้กับทุกคนเลย สู้ๆ	pos
ดีใจด้วยทุกคน	pos
ชีวิตจะสำเร็จอยู่ที่ความพยายาม เข้มแข็งเดินทางที่ถูกอะไรก้อเกิดขึ้นได้ สู้ๆนะคะ	pos
ขอบคุณทุกกำลังใจนะคะ จะพยายามทำปัจจุบันให้ดีที่สุด	pos
สู้ๆนะเธอ✌	pos
สู้ๆๆครับ ยังมีหนทางอยู่ครับ ผมเป็นกำลังใจให้	pos
สู้ๆ กะอี อย่าท้อ เราต้องเดินข้างหน้าต่อไป ✌	pos
เรียนสิ่งที่เรารัก เราชอบเพราะเราจะทำได้ดี มีความสุข	pos
สู้ๆ นะ ชีวิตคือการต่อสู้ 😊✌	pos
เว็บล่ม ล่มเหมือนอนาคต5555	neg
หัวร้อนแล้วตอนนี้	neg
เยสเเม่ไอ้เปรตมาต่อยกับกูที่มาาหัวดอมึงได้เเร้วเเละที่มึงเเหลงได้งัน	neg
ตรรกะป่วยจังมึงว่าป่ะ!	neg
ระบบเน่า ทปอ. ไม่แก้ไขสักที เห้ออ	neg
เรื่องที่น่าดีใจกว่าการสอบติด คือการได้ค้นพบตัวเอง	pos
กลับมาจากนคร ก็ไปหาเจ้เลยยย ดีใจที่ได้เจอนะค้าาา หนูสอบติดแล้วไว้ไปตามบ่อยๆ 💕💕 // กอด 😚	pos
ทำได้ๆๆๆ เย้ๆ 	pos
ติดเเล้ววววววววววววว	pos
ยินดีและดีใจด้วยค่ะกับเพื่อนๆทุกคนเลย 	pos
สู้ๆนะครัชชชช ขอให้ติดคณะและมหาลัยที่อยากเข้าเด้อ	pos
ไม่เคยรู้สึก หดหู่ ขนาดนี้เลยค่ะ
ถ้าไม่ได้รอบแรกนี่แรงกดดันจากคนรอบข้างเยอะมากๆ ไม่รู้เป็นห่าไร อย่ามายุ่งกับกูเลยค่ะ ความรู้สึกเหมือนหนูทดลองที่กำลังโดนยาพิษแล้วกำลังจะตายในอีก3วัน7วัน อีห่ากูเหนื่อย กูท้อ	neg
ไม่อยากจะเครียดนะแต่แบบพอมันนึกถึงก็กลัวอ่ะ กลัวความผิดหวังมากๆ ยิ่งใกล้วันยิ่งกดดัน ขอให้ติดเถอะขอร้อง 😭	neg
ไม่มีอะไรได้มาง่ายๆ มหาวิทยาลัยก็เหมือนกัน สู้สู้	pos
